"","work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size"
"0","2020","3","7","122","70000","9","79833","26","0","26","83"
"1","2020","4","7","140","260000","10","260000","27","0","27","85"
"2","2020","4","7","107","85000","11","109024","28","50","28","84"
"3","2020","3","7","147","20000","10","20000","29","0","29","85"
"4","2020","4","7","137","150000","10","150000","30","50","30","83"
"5","2020","1","7","112","72000","10","72000","30","100","30","83"
"6","2020","4","7","134","190000","10","190000","30","100","30","85"
"7","2020","3","7","122","11000000","12","35735","31","50","31","83"
"8","2020","3","7","108","135000","10","135000","30","100","30","83"
"9","2020","4","7","134","125000","10","125000","32","50","32","85"
"10","2020","1","7","122","45000","9","51321","33","0","33","85"
"11","2020","3","7","122","3000000","13","40481","34","0","34","83"
"12","2020","1","7","122","35000","9","39916","33","0","33","84"
"13","2020","3","7","132","87000","10","87000","30","100","30","83"
"14","2020","3","7","112","85000","10","85000","30","100","30","83"
"15","2020","3","7","112","8000","10","8000","35","50","35","83"
"16","2020","1","7","117","4450000","14","41689","27","100","27","85"
"17","2020","4","7","107","100000","9","114047","36","100","36","85"
"18","2020","1","7","119","423000","13","5707","34","50","34","84"
"19","2020","3","7","134","56000","10","56000","37","100","37","84"
"20","2020","3","7","137","299000","15","43331","38","0","38","84"
"21","2020","3","7","147","450000","13","6072","34","100","34","83"
"22","2020","4","7","117","42000","9","47899","39","50","39","83"
"23","2020","3","7","105","98000","10","98000","30","0","30","84"
"24","2020","3","7","134","115000","10","115000","40","0","40","83"
"25","2020","2","7","125","325000","10","325000","30","100","30","83"
"26","2020","1","7","148","42000","10","42000","41","50","41","83"
"27","2020","4","7","117","720000","16","33511","42","0","42","85"
"28","2020","1","5","108","100000","10","100000","30","100","30","83"
"29","2020","4","7","139","157000","16","117104","43","50","43","83"
"30","2020","3","7","118","51999","9","59303","26","100","26","85"
"31","2020","1","7","107","70000","10","70000","30","100","30","83"
"32","2020","4","7","122","60000","9","68428","39","100","39","83"
"33","2020","3","7","148","450000","10","450000","30","0","30","84"
"34","2020","3","7","112","41000","9","46759","33","50","33","83"
"35","2020","3","7","117","65000","9","74130","44","50","44","83"
"36","2020","3","7","119","103000","10","103000","30","100","30","83"
"37","2020","1","7","137","250000","10","250000","30","50","30","83"
"38","2020","1","7","112","10000","10","10000","45","100","45","85"
"39","2020","1","7","137","138000","10","138000","30","100","30","85"
"40","2020","3","7","122","45760","10","45760","46","100","46","85"
"41","2020","2","7","118","70000","9","79833","47","50","47","83"
"42","2020","3","7","138","44000","9","50180","37","0","37","84"
